GEO_ID,NAME,Total Education 18-24,18-24 Less Than High School,18-24 High School Graduate,18-24 Some College,18-24 Bachelor's Degree,S1501_C01_006E,S1501_C01_007E
36001,"Albany County, New York",45150,3012,12787,19767,9584,204918,5303
36003,"Allegany County, New York",7209,518,1537,4838,316,30038,939
36005,"Bronx County, New York",147118,30357,39794,63967,13000,929546,124987
36007,"Broome County, New York",27496,2329,7413,13853,3901,128064,3490
36009,"Cattaraugus County, New York",7088,1023,2789,2922,354,52849,1968
36011,"Cayuga County, New York",6595,1117,1965,3085,428,55436,1862
36013,"Chautauqua County, New York",12659,1686,3879,6131,963,89517,3083
36015,"Chemung County, New York",6964,1338,2569,2647,410,59604,1702
36017,"Chenango County, New York",3614,672,1448,1238,256,34344,1014
36019,"Clinton County, New York",10844,914,3433,5539,958,55211,2284
36021,"Columbia County, New York",4146,511,1494,1472,669,45574,1555
36023,"Cortland County, New York",8585,540,1705,5735,605,30113,794
36025,"Delaware County, New York",4522,262,1960,2027,273,32787,888
36027,"Dutchess County, New York",31945,3662,9367,15594,3322,205613,6401
36029,"Erie County, New York",85802,7812,23792,40995,13203,645981,17239
36031,"Essex County, New York",2638,468,999,983,188,28667,720
36033,"Franklin County, New York",5352,965,2181,1906,300,35065,1506
36035,"Fulton County, New York",4109,646,1524,1677,262,38601,1066
36037,"Genesee County, New York",4717,389,1794,2135,399,41334,756
36039,"Greene County, New York",4156,859,1782,1221,294,35359,1377
36041,"Hamilton County, New York",323,84,104,125,10,3567,126
36043,"Herkimer County, New York",5455,796,1580,2679,400,43732,1452
36045,"Jefferson County, New York",14020,1077,7000,5078,865,71540,1795
36047,"Kings County, New York",215081,28164,57873,87677,41367,1780247,157367
36049,"Lewis County, New York",2085,310,838,789,148,18360,504
36051,"Livingston County, New York",9523,624,2431,5888,580,42678,983
36053,"Madison County, New York",9423,528,3032,5241,622,47967,1123
36055,"Monroe County, New York",74733,7553,19547,36601,11032,512676,16262
36057,"Montgomery County, New York",3797,875,1341,1257,324,34199,1636
36059,"Nassau County, New York",119754,9294,27986,54511,27963,943013,44150
36061,"New York County, New York",147692,11990,26296,59558,49848,1249365,85770
36063,"Niagara County, New York",17570,1820,5747,7508,2495,150726,3629
36065,"Oneida County, New York",22090,2893,5858,10949,2390,158944,7034
36067,"Onondaga County, New York",47911,4255,11228,25760,6668,315878,8883
36069,"Ontario County, New York",10020,725,3383,4451,1461,77172,1420
36071,"Orange County, New York",40018,4582,12922,17769,4745,242775,8694
36073,"Orleans County, New York",3351,644,1246,1338,123,29499,951
36075,"Oswego County, New York",13124,1143,3561,7644,776,80093,2560
36077,"Otsego County, New York",10330,1101,3383,5076,770,39939,945
36079,"Putnam County, New York",8355,812,2648,3253,1642,70564,2383
36081,"Queens County, New York",179669,19686,44852,85405,29726,1645396,165896
36083,"Rensselaer County, New York",16369,1214,5626,7112,2417,111735,2852
36085,"Richmond County, New York",39994,4305,10953,17072,7664,330661,16147
36087,"Rockland County, New York",29939,4487,8227,12288,4937,203591,11197
36089,"St. Lawrence County, New York",15083,1263,3871,9240,709,71657,2579
36091,"Saratoga County, New York",19003,1772,4771,9422,3038,163010,2531
36093,"Schenectady County, New York",14710,1940,4659,6495,1616,106675,3619
36095,"Schoharie County, New York",3370,174,1100,1826,270,22309,694
36097,"Schuyler County, New York",1241,120,544,484,93,13229,328
36099,"Seneca County, New York",2801,677,751,977,396,24710,1336
36101,"Steuben County, New York",7430,1490,2960,2385,595,68086,2052
36103,"Suffolk County, New York",134777,12660,38769,59848,23500,1030842,44935
36105,"Sullivan County, New York",6088,1184,2048,2461,395,53086,2593
36107,"Tioga County, New York",3719,523,1245,1580,371,34696,591
36109,"Tompkins County, New York",27600,460,3662,18308,5170,59774,947
36111,"Ulster County, New York",16550,1492,4477,8654,1927,130190,4267
36113,"Warren County, New York",4635,538,1205,2190,702,47833,1190
36115,"Washington County, New York",4888,1075,2037,1416,360,44992,1988
36117,"Wayne County, New York",7115,1007,2867,2535,706,63914,2221
36119,"Westchester County, New York",85499,9964,21367,36147,18021,668290,41248
36121,"Wyoming County, New York",3256,384,1253,1299,320,29033,854
36123,"Yates County, New York",2783,669,913,953,248,16673,1565